Gender,Education_Level,Preferred_Activities,Location,Favorite_Season,Pets,Environmental_Concerns,Preference,Proximity_to_Mountains,Proximity_to_Beaches,Vacation_Budget,Travel_Frequency,Income,Age
female,doctorate,swimming,rural,spring,1,0,0,201,24,948,1,83719,42
female,high school,hiking,suburban,spring,1,0,1,165,294,4703,2,46795,66
non-binary,master,sunbathing,suburban,fall,1,0,0,30,125,2510,3,92148,44
non-binary,doctorate,hiking,rural,summer,1,0,0,209,90,1714,5,34116,59
male,high school,skiing,suburban,spring,0,0,1,46,124,4382,3,58179,45
female,high school,skiing,rural,spring,1,0,1,118,296,2385,9,73175,33
female,high school,sunbathing,urban,fall,1,0,0,107,91,3849,4,21627,32
non-binary,doctorate,swimming,rural,summer,0,1,0,288,27,2581,7,97004,64
male,high school,hiking,rural,winter,0,1,1,51,149,3216,0,65603,68
non-binary,bachelor,skiing,suburban,fall,1,1,1,93,105,2754,2,93856,61
female,high school,swimming,suburban,summer,0,0,0,260,181,3623,7,109258,69
female,master,swimming,suburban,winter,0,0,0,212,15,3453,4,31144,20
male,high school,swimming,suburban,spring,1,1,0,246,221,2611,8,114704,54
non-binary,master,hiking,suburban,summer,1,0,0,274,134,2713,6,32243,68
male,doctorate,swimming,suburban,spring,0,1,0,207,168,1998,8,30602,24
non-binary,high school,skiing,suburban,summer,0,0,0,77,8,3701,9,43401,38
male,high school,swimming,urban,spring,1,1,0,250,173,4571,0,68080,26
non-binary,doctorate,swimming,rural,winter,1,1,0,231,250,553,6,97682,56
non-binary,bachelor,hiking,suburban,winter,0,1,1,123,184,1641,7,98367,35
non-binary,doctorate,hiking,urban,summer,0,1,1,49,167,3244,0,98203,21
female,doctorate,swimming,suburban,summer,0,0,0,266,270,3895,0,119298,42
non-binary,master,sunbathing,urban,winter,0,0,0,164,133,2564,9,21605,31
female,high school,sunbathing,suburban,spring,1,1,0,160,263,558,7,37721,67
male,high school,sunbathing,suburban,summer,1,1,0,84,17,4235,5,41939,26
non-binary,master,hiking,urban,spring,0,0,0,25,18,2718,6,28389,43
female,master,sunbathing,rural,fall,1,1,0,197,248,1670,3,86904,19
male,high school,skiing,urban,fall,0,1,0,241,47,2921,9,87867,37
non-binary,bachelor,sunbathing,rural,spring,1,1,0,264,138,2556,4,48902,45
male,bachelor,swimming,rural,summer,0,0,0,243,227,3229,4,99552,64
female,master,swimming,suburban,spring,0,1,0,13,177,3540,8,63471,24
female,high school,skiing,suburban,fall,0,1,1,31,285,3359,2,111027,61
non-binary,bachelor,hiking,suburban,summer,0,0,0,51,24,2382,0,83063,25
female,bachelor,hiking,suburban,fall,1,1,1,64,202,3319,1,27118,64
female,high school,hiking,suburban,winter,1,0,0,166,121,2349,9,108178,52
male,doctorate,hiking,suburban,winter,0,1,1,93,292,3276,1,23721,31
non-binary,doctorate,sunbathing,suburban,summer,0,1,0,261,262,4675,9,87005,34
non-binary,bachelor,swimming,urban,winter,1,1,0,13,221,1065,5,26436,53
non-binary,doctorate,swimming,rural,winter,1,1,0,250,170,4280,7,118018,67
male,doctorate,swimming,suburban,spring,0,1,0,279,73,1209,9,30043,57
female,bachelor,swimming,urban,fall,1,1,0,278,219,4581,6,33914,21
non-binary,high school,swimming,rural,summer,1,0,0,98,167,1672,0,95101,19
non-binary,high school,hiking,rural,winter,0,0,1,20,105,1963,7,53090,23
male,bachelor,skiing,rural,spring,1,0,1,105,164,1737,6,105171,59
male,bachelor,swimming,urban,summer,1,1,0,195,171,2766,1,73615,21
non-binary,master,hiking,suburban,spring,1,1,0,277,207,2288,9,46301,46
non-binary,doctorate,skiing,urban,fall,0,0,1,26,66,826,5,116651,35
male,bachelor,skiing,urban,summer,1,1,0,258,76,3518,6,45329,43
male,doctorate,hiking,suburban,winter,1,1,1,79,180,2480,5,110652,61
male,bachelor,hiking,rural,fall,1,0,0,283,216,2704,0,26429,51
male,doctorate,skiing,suburban,summer,0,0,1,38,132,1759,8,107701,27
female,high school,hiking,suburban,spring,1,1,0,77,69,1939,2,50032,53
female,high school,skiing,suburban,spring,0,0,0,242,90,3985,4,73556,31
non-binary,bachelor,sunbathing,rural,spring,0,1,0,117,105,3205,7,46842,48
female,doctorate,swimming,urban,winter,0,1,0,136,99,4769,1,22837,65
male,bachelor,swimming,urban,fall,0,0,0,298,258,2362,3,106832,32
non-binary,doctorate,hiking,urban,summer,1,0,0,192,151,1396,4,27088,25
male,bachelor,skiing,rural,fall,1,0,0,106,70,4858,8,28582,31
female,bachelor,skiing,urban,spring,1,0,0,261,205,4552,1,71245,40
male,master,hiking,rural,spring,1,1,1,109,210,1813,5,75306,57
non-binary,master,swimming,urban,winter,1,0,0,215,182,3175,6,22063,38
female,master,swimming,rural,summer,0,0,0,68,96,3477,9,27349,33
non-binary,master,sunbathing,urban,fall,1,0,0,54,115,2519,1,111832,62
female,master,swimming,urban,winter,0,0,0,61,194,780,9,110659,35
male,master,sunbathing,urban,summer,0,1,0,240,251,3358,9,53842,64
non-binary,doctorate,sunbathing,rural,summer,1,1,0,20,162,634,3,89781,41
female,master,hiking,suburban,fall,1,0,0,244,235,2646,3,119815,43
female,high school,swimming,rural,summer,1,0,0,254,96,3467,5,98244,42
female,bachelor,hiking,urban,winter,0,0,1,7,114,2180,1,62242,62
female,high school,hiking,rural,spring,0,0,0,284,201,1539,8,60226,58
male,master,hiking,urban,summer,0,0,1,232,281,1046,4,86160,46
male,doctorate,skiing,rural,summer,0,1,0,290,179,3959,4,42309,32
female,bachelor,sunbathing,rural,fall,0,1,0,185,102,2341,6,43913,62
male,master,skiing,rural,summer,0,0,0,171,4,2193,5,68694,18
male,bachelor,hiking,rural,winter,0,1,0,91,59,2748,9,26568,42
female,bachelor,swimming,urban,spring,1,0,0,283,187,1695,3,40183,24
male,high school,sunbathing,suburban,summer,0,0,0,190,48,3653,5,33173,26
non-binary,doctorate,sunbathing,rural,spring,1,0,0,271,284,3502,1,110273,41
non-binary,bachelor,swimming,rural,spring,1,0,0,123,254,3135,8,101890,18
male,doctorate,sunbathing,urban,spring,0,0,0,173,21,4740,3,36906,61
female,high school,sunbathing,suburban,fall,0,1,0,129,171,4595,6,45806,25
non-binary,master,swimming,rural,winter,1,1,0,33,157,1584,8,30509,41
male,high school,hiking,urban,fall,0,1,1,1,232,1975,6,23052,28
male,doctorate,skiing,rural,summer,1,1,0,167,130,3775,2,60468,68
female,master,skiing,suburban,spring,0,0,1,17,69,4945,1,62395,34
female,doctorate,sunbathing,suburban,fall,1,1,0,56,52,610,5,60554,25
male,bachelor,skiing,urban,spring,1,1,1,133,270,1547,2,88709,52
female,bachelor,sunbathing,urban,fall,1,1,0,45,274,892,5,52597,52
non-binary,doctorate,swimming,urban,fall,0,1,0,80,57,1458,6,23068,50
non-binary,bachelor,hiking,rural,summer,0,0,0,150,84,4052,3,63579,22
male,high school,sunbathing,urban,fall,1,0,0,19,198,4831,4,20545,59
male,doctorate,hiking,suburban,spring,1,0,0,170,17,2217,0,109152,56
female,master,sunbathing,suburban,fall,0,0,0,240,90,1554,0,31478,58
non-binary,doctorate,swimming,suburban,winter,0,0,0,286,200,3119,7,89599,45
female,master,hiking,urban,winter,0,1,1,68,79,1804,5,77091,24
male,doctorate,skiing,suburban,winter,1,1,1,156,249,4518,0,42888,26
male,doctorate,hiking,suburban,fall,1,0,0,76,25,2511,4,71946,25
male,doctorate,sunbathing,rural,winter,1,0,0,164,147,1015,4,60005,29
male,bachelor,sunbathing,rural,summer,0,0,0,69,57,3363,7,116079,51
male,doctorate,swimming,urban,fall,1,0,0,250,50,4317,0,61993,50
male,master,swimming,urban,spring,0,0,0,213,108,1186,0,85314,65
female,doctorate,swimming,urban,fall,0,0,0,1,151,1898,0,24311,40
female,bachelor,sunbathing,rural,spring,0,0,0,249,124,1096,6,100062,41
female,high school,skiing,rural,fall,0,0,1,222,280,1633,3,109696,54
non-binary,bachelor,hiking,suburban,fall,1,1,0,212,73,3563,6,67322,52
female,bachelor,swimming,rural,winter,0,1,0,259,198,3525,9,119736,61
male,master,hiking,urban,summer,1,1,0,151,78,523,4,33692,57
female,doctorate,sunbathing,rural,summer,0,1,0,52,231,2204,6,54008,39
female,high school,hiking,suburban,fall,1,0,1,15,27,690,4,54591,44
non-binary,high school,skiing,urban,summer,0,1,0,159,72,4067,3,97929,52
male,high school,swimming,rural,summer,1,1,0,20,60,3443,6,72377,18
non-binary,bachelor,hiking,urban,winter,0,1,0,223,47,2133,5,96867,52
non-binary,master,swimming,urban,summer,0,0,0,289,223,2779,3,39912,54
non-binary,high school,hiking,suburban,winter,0,1,0,263,220,2005,0,77242,64
female,bachelor,sunbathing,rural,fall,0,1,0,8,216,2341,6,109800,31
male,bachelor,hiking,rural,spring,1,1,1,43,239,1137,7,111627,20
male,master,sunbathing,suburban,winter,0,0,0,161,265,3688,4,82041,18
non-binary,bachelor,skiing,urban,fall,0,0,0,270,215,2993,9,78378,22
male,doctorate,hiking,suburban,spring,1,0,0,158,109,1767,8,79828,43
male,bachelor,skiing,rural,winter,0,0,1,74,237,4271,7,46213,31
non-binary,master,skiing,rural,winter,1,1,0,251,68,3153,1,80191,56
female,bachelor,skiing,rural,summer,0,1,0,287,197,3862,6,59610,44
non-binary,bachelor,hiking,urban,winter,1,0,0,248,201,1925,7,98054,26
non-binary,bachelor,skiing,suburban,summer,0,0,0,266,104,3909,3,67240,32
female,high school,sunbathing,urban,summer,0,0,0,26,1,1415,0,74794,32
female,doctorate,skiing,urban,fall,1,0,1,52,297,1120,0,71600,43
female,high school,skiing,suburban,summer,0,0,0,260,143,1141,4,114047,59
female,bachelor,hiking,rural,summer,1,1,1,191,203,1825,7,55594,30
non-binary,bachelor,skiing,suburban,fall,0,1,0,264,226,1358,3,90200,68
female,bachelor,skiing,urban,spring,1,1,1,5,230,3324,0,37365,49
male,master,hiking,suburban,winter,0,1,1,35,55,1055,2,104017,56
non-binary,doctorate,sunbathing,urban,winter,1,0,0,133,7,4418,2,44569,66
non-binary,high school,sunbathing,rural,summer,1,1,0,266,10,4305,8,88432,69
female,doctorate,hiking,suburban,winter,1,0,1,95,265,771,3,55892,49
female,bachelor,skiing,rural,spring,0,0,0,210,76,951,3,73848,21
male,master,hiking,suburban,winter,1,0,1,55,258,2126,3,111899,47
female,doctorate,hiking,urban,spring,0,1,0,113,58,858,4,110319,54
non-binary,master,swimming,rural,fall,0,1,0,10,237,2240,6,39168,40
female,doctorate,skiing,suburban,spring,0,0,1,45,184,1267,3,41953,56
male,bachelor,sunbathing,suburban,fall,0,1,0,25,276,3044,6,57034,62
non-binary,high school,skiing,rural,summer,0,1,1,275,285,2776,4,35142,32
non-binary,master,hiking,urban,summer,0,0,0,266,247,4741,3,74313,60
female,doctorate,swimming,rural,winter,1,1,0,81,296,757,7,61675,46
male,bachelor,sunbathing,rural,spring,0,1,0,52,180,4948,7,72202,53
male,bachelor,hiking,urban,summer,1,0,1,43,144,2550,8,98753,30
female,high school,hiking,urban,summer,1,1,1,85,111,1830,3,102509,49
non-binary,doctorate,swimming,rural,fall,0,0,0,260,53,2883,3,55720,24
non-binary,high school,hiking,rural,fall,0,1,0,234,62,3432,6,45978,68
non-binary,doctorate,swimming,urban,summer,0,1,0,165,190,4475,5,79101,39
female,bachelor,skiing,rural,summer,1,1,1,215,236,2747,3,44060,45
non-binary,master,skiing,urban,spring,0,0,0,143,100,3426,1,109995,19
non-binary,doctorate,skiing,rural,summer,1,0,0,235,92,1668,1,22825,59
female,high school,hiking,suburban,summer,1,0,1,153,253,3828,3,20215,62
non-binary,bachelor,skiing,suburban,winter,0,0,1,36,56,1739,5,31937,23
female,high school,hiking,suburban,winter,1,0,1,194,201,3687,5,20587,45
male,master,sunbathing,rural,winter,1,1,0,285,141,3295,9,22585,45
male,high school,sunbathing,suburban,winter,0,1,0,201,237,3538,5,87551,61
female,master,swimming,urban,winter,0,0,0,155,189,1726,9,82162,61
female,master,skiing,suburban,fall,0,1,1,49,285,2863,0,118231,37
female,bachelor,hiking,rural,summer,0,1,1,84,274,1730,4,93527,47
non-binary,bachelor,skiing,urban,winter,1,1,0,159,12,2091,4,39413,28
non-binary,master,hiking,suburban,winter,0,0,1,23,56,4073,9,90703,45
female,bachelor,skiing,urban,summer,1,0,1,87,242,2131,6,22112,42
female,master,sunbathing,rural,spring,1,0,0,44,66,964,7,83980,56
non-binary,bachelor,swimming,rural,summer,0,1,0,295,58,2881,7,47366,50
non-binary,master,swimming,rural,winter,0,0,0,6,168,1742,8,64532,18
female,master,swimming,suburban,fall,1,0,0,196,244,3363,6,109460,44
non-binary,bachelor,sunbathing,urban,winter,1,1,0,193,110,2178,7,56587,69
non-binary,doctorate,hiking,rural,spring,0,0,1,108,196,3066,7,109854,30
male,bachelor,swimming,rural,spring,0,1,0,295,158,4482,3,95401,58
female,bachelor,hiking,suburban,winter,0,0,1,161,278,3667,3,105122,20
female,high school,swimming,rural,spring,1,1,0,8,227,1295,6,94267,56
non-binary,bachelor,swimming,rural,summer,1,0,0,6,167,2659,1,86900,23
male,master,hiking,rural,spring,0,0,0,190,134,1348,9,74794,25
female,doctorate,sunbathing,rural,spring,1,1,0,246,283,853,6,66295,44
female,bachelor,swimming,suburban,fall,0,0,0,37,149,741,8,61995,26
non-binary,master,hiking,suburban,summer,1,1,1,80,167,1667,5,84518,54
female,bachelor,sunbathing,suburban,spring,1,0,0,123,38,2323,0,25801,50
non-binary,master,hiking,suburban,fall,0,1,1,265,287,3463,6,39295,68
male,master,sunbathing,suburban,summer,1,1,0,115,145,1839,1,86364,59
male,doctorate,swimming,suburban,winter,1,1,0,260,74,4179,6,55225,61
female,high school,skiing,rural,summer,1,1,0,182,159,2479,8,63868,41
non-binary,doctorate,sunbathing,suburban,summer,1,0,0,220,92,4208,2,78202,32
male,doctorate,swimming,urban,spring,1,0,0,240,268,3271,4,55507,49
female,high school,swimming,suburban,fall,1,0,0,206,182,4218,7,67561,49
female,master,hiking,suburban,spring,1,0,0,148,19,2078,1,102819,41
female,master,hiking,urban,summer,0,0,1,104,157,4913,8,58037,58
non-binary,master,skiing,rural,winter,0,1,0,277,26,772,8,46889,69
non-binary,bachelor,hiking,rural,summer,0,0,0,64,53,3671,5,92579,66
male,bachelor,hiking,suburban,spring,1,0,1,84,261,797,2,110758,66
non-binary,bachelor,sunbathing,suburban,summer,0,0,0,203,7,3417,7,75486,69
non-binary,doctorate,swimming,suburban,fall,1,1,0,47,162,3780,5,41745,29
female,master,hiking,suburban,fall,0,0,1,207,272,1908,3,86754,56
female,master,sunbathing,suburban,fall,1,1,0,290,295,1304,0,61047,19
male,bachelor,hiking,rural,fall,1,1,1,83,253,1305,8,39822,20
female,doctorate,swimming,urban,summer,1,1,0,98,243,1347,7,99332,66
female,doctorate,swimming,rural,spring,1,0,0,84,185,3810,9,112061,54
female,high school,swimming,urban,winter,1,1,0,208,227,1734,7,69512,66
non-binary,doctorate,sunbathing,rural,spring,1,0,0,243,18,2120,1,69267,34
female,high school,sunbathing,rural,fall,1,1,0,111,68,4211,2,39887,66
male,doctorate,skiing,suburban,winter,0,0,1,174,286,3530,3,51682,19
male,high school,hiking,rural,winter,0,0,1,68,216,4031,1,82926,19
female,doctorate,swimming,urban,spring,0,1,0,44,261,2738,1,69631,45
female,high school,skiing,rural,fall,0,0,1,224,262,3135,7,39879,40
male,high school,swimming,rural,winter,1,1,0,4,144,2329,3,50449,54
non-binary,doctorate,hiking,suburban,spring,0,0,0,268,44,4592,4,101279,49
female,high school,sunbathing,urban,spring,1,0,0,123,141,3557,2,41717,50
male,doctorate,sunbathing,rural,summer,0,0,0,60,116,4954,0,45571,18
non-binary,high school,sunbathing,rural,spring,1,0,0,67,165,2617,4,40191,36
male,high school,sunbathing,urban,winter,0,0,0,265,103,3367,7,40154,19
non-binary,bachelor,skiing,urban,winter,1,0,1,32,133,2775,6,68964,61
male,master,skiing,suburban,winter,1,0,1,49,191,4063,0,78489,43
male,bachelor,skiing,suburban,winter,1,1,1,147,173,4929,2,97736,49
non-binary,master,skiing,suburban,spring,1,0,1,122,178,2400,6,83471,23
female,doctorate,sunbathing,rural,fall,1,0,0,271,164,3142,0,57571,49
male,master,hiking,rural,summer,0,1,1,10,266,1349,9,57807,21
female,master,sunbathing,urban,winter,1,1,0,147,124,4229,0,88284,28
male,high school,hiking,rural,spring,1,1,0,138,3,3099,6,96036,34
non-binary,master,sunbathing,rural,fall,0,0,0,79,45,2970,7,85542,55
female,doctorate,swimming,suburban,summer,1,1,0,144,59,2505,4,71077,41
non-binary,doctorate,sunbathing,suburban,winter,1,1,0,97,143,2543,8,99794,22
non-binary,bachelor,swimming,rural,summer,0,0,0,215,269,2112,7,36336,69
female,master,swimming,urban,summer,1,0,0,48,146,563,7,22075,51
female,doctorate,sunbathing,rural,fall,1,0,0,110,7,3979,4,90456,23
female,doctorate,sunbathing,urban,fall,0,1,0,198,89,3624,2,81861,39
non-binary,bachelor,swimming,rural,winter,0,0,0,61,217,2842,9,119026,28
non-binary,bachelor,swimming,urban,spring,1,0,0,118,279,1303,7,34896,65
non-binary,bachelor,skiing,rural,winter,0,1,1,56,152,4021,7,32779,33
female,high school,swimming,urban,summer,0,0,0,287,232,2962,1,38187,50
male,high school,hiking,suburban,winter,0,1,1,148,187,4100,9,83148,26
female,high school,skiing,rural,winter,0,1,1,102,264,1876,1,72581,23
male,bachelor,sunbathing,rural,summer,0,0,0,80,121,555,6,96498,33
non-binary,doctorate,sunbathing,urban,fall,0,0,0,27,242,4482,6,56320,46
male,bachelor,hiking,rural,fall,1,1,1,78,99,3606,0,48972,20
female,bachelor,sunbathing,suburban,summer,0,0,0,161,200,1331,8,56228,37
female,doctorate,swimming,urban,summer,0,0,0,123,46,1390,3,108994,53
female,bachelor,hiking,rural,fall,0,1,1,267,284,4434,8,57026,36
male,bachelor,sunbathing,urban,winter,1,1,0,170,231,1817,5,48526,43
female,bachelor,sunbathing,urban,fall,1,1,0,205,172,4865,5,90766,20
male,bachelor,hiking,urban,fall,0,1,0,291,4,2659,9,104638,36
non-binary,high school,skiing,rural,fall,0,1,0,261,103,2403,7,86805,37
male,doctorate,sunbathing,urban,summer,1,0,0,273,159,2527,7,42307,49
non-binary,master,skiing,rural,spring,1,1,0,223,186,3445,4,28615,24
male,bachelor,skiing,suburban,spring,0,0,1,72,124,2535,7,108487,69
non-binary,high school,hiking,rural,spring,1,1,1,51,52,1644,5,88284,58
female,high school,skiing,rural,winter,0,1,0,268,161,2583,0,60182,50
male,doctorate,swimming,urban,spring,1,0,0,29,35,4006,4,73969,57
non-binary,doctorate,skiing,suburban,winter,1,0,1,176,206,4811,6,104699,56
female,bachelor,hiking,suburban,summer,0,0,0,275,14,3436,3,101676,35
female,high school,swimming,suburban,fall,1,0,0,6,84,4275,9,65469,57
non-binary,bachelor,swimming,urban,fall,0,0,0,261,71,2390,9,36935,18
non-binary,doctorate,swimming,suburban,fall,0,1,0,243,242,2719,7,102832,28
male,master,skiing,rural,spring,0,0,1,149,294,4930,7,114280,45
non-binary,high school,swimming,rural,spring,0,1,0,153,85,3579,9,70534,42
non-binary,high school,swimming,suburban,winter,1,0,0,43,182,4333,7,44981,67
female,master,sunbathing,urban,spring,1,1,0,76,235,4387,7,109655,40
non-binary,master,sunbathing,rural,spring,1,0,0,176,186,4977,7,108893,48
non-binary,master,skiing,urban,summer,1,0,1,189,191,1732,7,102574,47
non-binary,doctorate,skiing,suburban,summer,0,1,0,152,3,3429,2,62359,59
female,doctorate,sunbathing,rural,summer,1,0,0,98,232,4955,0,103509,52
female,high school,hiking,urban,winter,0,1,0,162,1,3853,9,116911,24
female,doctorate,swimming,urban,spring,1,1,0,262,236,2618,0,29939,33
female,master,hiking,urban,winter,0,1,0,146,82,2173,7,24056,43
male,doctorate,hiking,urban,fall,0,1,0,242,91,4808,2,79111,65
female,bachelor,swimming,urban,summer,0,1,0,288,97,4495,6,81847,69
female,bachelor,hiking,rural,fall,0,1,0,214,170,2818,9,82031,66
male,high school,skiing,urban,fall,1,1,1,7,98,1763,3,113042,19
male,bachelor,skiing,rural,summer,1,1,1,208,233,1784,5,47343,18
male,doctorate,skiing,rural,spring,1,0,0,242,10,3105,6,85401,65
non-binary,master,sunbathing,urban,summer,0,1,0,140,38,1985,0,58296,29
female,bachelor,sunbathing,suburban,fall,1,0,0,186,177,4386,0,33438,22
non-binary,doctorate,skiing,suburban,winter,0,0,0,266,230,4522,7,94669,54
male,master,sunbathing,suburban,summer,1,1,0,287,2,509,6,81295,49
male,high school,hiking,rural,winter,0,1,1,0,249,3378,2,46496,26
male,master,hiking,urban,summer,1,0,0,220,129,1593,9,47057,58
male,bachelor,sunbathing,urban,summer,1,0,0,211,12,714,7,49818,52
non-binary,master,sunbathing,suburban,summer,0,0,0,225,56,2445,9,105169,36
male,high school,swimming,rural,winter,0,0,0,149,252,1579,2,77248,65
female,master,sunbathing,rural,fall,0,1,0,258,73,4273,1,40208,33
female,doctorate,hiking,rural,spring,1,1,1,170,183,1093,1,119443,20
female,bachelor,swimming,rural,fall,0,0,0,29,58,4188,6,88422,37
non-binary,high school,skiing,rural,spring,0,0,0,265,78,1180,2,38149,41
male,bachelor,swimming,suburban,winter,0,0,0,164,111,4291,0,27835,50
non-binary,doctorate,hiking,rural,spring,1,0,0,154,113,3595,5,29375,41
female,bachelor,skiing,suburban,summer,0,1,1,259,264,1067,8,105511,69
male,bachelor,hiking,rural,spring,1,1,1,234,251,3702,3,51531,28
non-binary,master,hiking,urban,spring,0,1,1,51,113,3817,8,56959,66
male,bachelor,skiing,urban,winter,0,0,1,246,295,4777,0,74395,25
male,doctorate,sunbathing,suburban,winter,1,0,0,131,150,2335,2,115087,53
non-binary,doctorate,swimming,rural,winter,1,0,0,205,276,1190,7,60642,55
female,doctorate,skiing,rural,winter,0,0,1,21,190,781,7,72870,57
non-binary,high school,swimming,rural,summer,1,1,0,251,4,4747,5,58021,37
non-binary,high school,sunbathing,rural,winter,1,0,0,215,17,2474,5,22524,52
female,doctorate,skiing,rural,winter,0,1,0,149,98,4661,5,87756,65
non-binary,bachelor,skiing,suburban,summer,0,0,1,146,271,4829,9,66778,42
male,master,hiking,suburban,fall,0,0,0,126,58,3127,5,110426,52
female,master,skiing,rural,summer,1,0,1,52,98,2593,2,114040,42
non-binary,high school,sunbathing,suburban,winter,1,0,0,293,97,1873,1,91460,46
male,master,skiing,suburban,summer,1,1,1,80,260,3917,4,41585,35
female,doctorate,hiking,suburban,fall,1,1,1,45,219,2634,5,42467,63
non-binary,high school,sunbathing,rural,fall,1,0,0,252,157,2461,2,75286,35
female,bachelor,swimming,urban,fall,1,1,0,18,169,1656,7,48224,19
male,bachelor,swimming,rural,fall,0,0,0,108,255,1428,6,117632,52
male,master,skiing,urban,spring,1,1,0,270,167,501,3,42427,33
female,high school,sunbathing,suburban,summer,1,1,0,246,248,1400,0,25970,58
male,high school,hiking,urban,summer,1,1,0,231,161,1756,7,88704,53
male,high school,skiing,urban,fall,1,0,0,232,67,3307,0,31022,50
female,high school,skiing,rural,spring,1,1,0,219,106,4517,4,107276,21
female,master,hiking,urban,winter,1,0,0,146,118,4875,4,22390,50
non-binary,high school,hiking,rural,fall,1,1,1,175,260,3081,6,79046,31
non-binary,doctorate,sunbathing,suburban,spring,0,0,0,228,7,4802,1,118765,38
female,high school,sunbathing,rural,summer,0,1,0,104,50,2950,4,104300,65
male,high school,sunbathing,suburban,spring,1,0,0,251,214,1888,7,33287,37
male,high school,skiing,urban,summer,0,0,1,186,244,1098,4,43835,25
female,bachelor,swimming,suburban,winter,0,1,0,214,178,2130,9,109502,24
female,bachelor,hiking,rural,winter,0,1,0,250,123,1510,4,41131,20
female,high school,skiing,urban,fall,1,0,0,85,36,636,4,87852,34
male,doctorate,sunbathing,urban,spring,0,0,0,77,161,2729,9,81954,50
non-binary,bachelor,hiking,suburban,summer,0,0,1,21,58,4025,7,100446,65
non-binary,master,hiking,urban,fall,0,0,1,84,278,1346,6,35423,29
male,high school,skiing,rural,winter,0,1,1,134,153,3044,3,109419,68
non-binary,doctorate,skiing,suburban,winter,1,1,1,51,161,4503,7,52596,39
female,doctorate,swimming,urban,spring,0,1,0,136,70,4368,2,72349,39
female,master,hiking,urban,fall,1,0,1,178,217,3595,9,50529,63
male,master,skiing,rural,spring,1,1,1,35,244,2352,5,45951,47
male,doctorate,swimming,urban,summer,1,1,0,155,171,2400,3,52712,55
female,bachelor,sunbathing,urban,winter,1,0,0,232,177,2579,1,60592,55
female,bachelor,sunbathing,suburban,spring,1,0,0,58,201,4735,0,80536,62
male,doctorate,swimming,suburban,summer,1,1,0,265,293,1706,8,30295,68
male,bachelor,hiking,suburban,winter,0,0,0,296,28,2380,3,42641,25
female,high school,hiking,suburban,summer,1,1,0,245,151,689,8,102642,44
female,master,hiking,rural,fall,1,0,0,293,148,3154,6,104486,44
non-binary,master,swimming,urban,summer,0,0,0,113,281,4395,0,39363,51
non-binary,bachelor,hiking,rural,spring,1,0,0,220,8,2053,9,43847,38
female,bachelor,hiking,urban,summer,0,0,0,297,125,1698,4,21193,47
male,high school,sunbathing,urban,summer,1,1,0,252,289,910,5,40643,50
non-binary,high school,sunbathing,rural,fall,0,0,0,292,59,2423,7,76176,45
non-binary,doctorate,hiking,suburban,spring,0,1,1,144,213,2259,5,58694,64
female,bachelor,swimming,rural,spring,1,1,0,27,259,2627,7,73112,50
